"Title","Company","City","State","Zipcode","PostedDateText","PostedDate","Job Type","Year Founded","Company Size","Website","Job Link"
"Marketing Manager - Sencha","Idera, Inc.","Austin","TX","78759","+30 days ago","2020-02-26T12:00","","","","","https://job-openings.monster.com/marketing-manager-sencha-austin-tx-us-idera-inc/dbdace7f-cc27-41ce-8c09-017c7236ecbe"
"Global Marketing Manager","Emerson","Austin","TX","","+30 days ago","2019-05-29T12:00","","","","","https://job-openings.monster.com/global-marketing-manager-austin-tx-us-emerson/8f2752e6-fb47-43db-bdb9-6d5a5d1fb5ec"
"Content Creator -Alchemy","Alchemy Systems, L.P.","Austin","TX","73301","11 days ago","2020-04-19T12:00","","","","","https://job-openings.monster.com/content-creator-alchemy-austin-tx-us-alchemy-systems-l-p/336ab2c0-504d-468b-9e32-c9f7f54580cc"
"Marketing Manager","Experian","Austin","TX","73301","12 days ago","2020-04-18T12:00","","1980","10,000 employees or more","","https://job-openings.monster.com/marketing-manager-austin-tx-us-experian/2c33059e-ce20-44b0-83b4-b84f80674e84"
"New Business Development Digital Account Executive","Emmis Communciations","Austin","TX","73301","+30 days ago","2019-10-10T12:00","","","","","https://job-openings.monster.com/new-business-development-digital-account-executive-austin-tx-us-emmis-communciations/4d650097-088e-4d91-8e1a-c629c5eb5251"
"Content Information Architect","PayPal","Austin","TX","","+30 days ago","2020-02-21T12:00","","1998","10,000 employees or more","https://www.paypal.com","https://job-openings.monster.com/content-information-architect-austin-tx-us-paypal/299b2893-115d-4fb2-af07-1ce6a8f9834f"
"Digital Strategist","IBM","Austin","TX","","+30 days ago","2020-02-19T12:00","","1911","10,000 employees or more","http://www-03.ibm.com/employment/us/","https://job-openings.monster.com/digital-strategist-austin-tx-us-ibm/7cceaa11-1c99-43c1-8e46-f9ede3f7fe1e"
"Marketing Programs Analyst - LANSA","Idera, Inc.","Austin","TX","78759","+30 days ago","2020-02-19T12:00","","","","","https://job-openings.monster.com/marketing-programs-analyst-lansa-austin-tx-us-idera-inc/6a0a49a0-6283-4afd-a303-dbc7ddfa5515"
"Senior Marketing Manager","SolarWinds","Austin","TX","78735","28 days ago","2020-04-02T12:00","","","","","https://job-openings.monster.com/senior-marketing-manager-austin-tx-us-solarwinds/28174a50-e8a4-44c7-8af6-b9d7e36c480b"
"Digital Marketing Specialist","Emmis Communciations","Austin","TX","73301","+30 days ago","2019-07-31T12:00","","","","","https://job-openings.monster.com/digital-marketing-specialist-austin-tx-us-emmis-communciations/5ea73042-1875-4271-893f-bf94644ea1d2"
"Marketing Operations Analyst - Wherescape","Idera, Inc.","Austin","TX","78759","+30 days ago","2020-02-10T12:00","","","","","https://job-openings.monster.com/marketing-operations-analyst-wherescape-austin-tx-us-idera-inc/c820f598-daae-424d-94cc-30b02eeae337"
"Video Game Producer - Atlanta, GA","Applied Resource Group","Roswell","GA","30076","3 days ago","2020-04-27T12:07","Full Time, Employee","","1 to 9 employees","http://appliedrg.com/","https://job-openings.monster.com/video-game-producer-atlanta-ga-roswell-ga-us-applied-resource-group/217277861"
"Digital Performance Strategist","Assembly","Austin","TX","","Posted today","2020-04-30T12:00","","","","","https://job-openings.monster.com/digital-performance-strategist-austin-tx-us-assembly/779af63d-96fa-43d1-9de2-8d8e605bd300"
"Content Manager - Corporate","Pathfinder Development","Austin","TX","","Posted today","2020-04-30T12:00","","","","","https://job-openings.monster.com/content-manager-corporate-austin-tx-us-pathfinder-development/2100acdb-15b3-41a9-bba1-ed37303972a9"
"Full Stack Javascript Engineer","PayPal","Austin","TX","","1 day ago","2020-04-29T12:00","","1998","10,000 employees or more","https://www.paypal.com","https://job-openings.monster.com/full-stack-javascript-engineer-austin-tx-us-paypal/32445fbf-80c0-4e29-9339-f119c269abd9"
"Senior Copywriter","Kasasa","Austin","TX","","3 days ago","2020-04-27T12:00","","","","","https://job-openings.monster.com/senior-copywriter-austin-tx-us-kasasa/a8a3b1cc-0be1-4928-8dad-784fa9ae89b2"
"Digital Marketing Director","Tiff's Treats","Austin","TX","78757","4 days ago","2020-04-26T12:00","","","","","https://job-openings.monster.com/digital-marketing-director-austin-tx-us-tiffs-treats/9f64ee54-63a2-4c3b-8d62-d992ee2e118a"
"Content Marketing Manager","BigCommerce","Austin","TX","","7 days ago","2020-04-23T12:00","","","","","https://job-openings.monster.com/content-marketing-manager-austin-tx-us-bigcommerce/f7bd56f6-8be4-4d33-ac0a-6961f7831f33"
"Equipment Maintenance Technician- Metrology","Samsung Electronics Careers","Austin","TX","","8 days ago","2020-04-22T12:00","","","","","https://job-openings.monster.com/equipment-maintenance-technician-metrology-austin-tx-us-samsung-electronics-careers/dd21b541-a5ac-4d10-a435-7d934fbca555"
"Senior Manager, Marketing Analytics","Charles Schwab Corporation","Austin","TX","78758","8 days ago","2020-04-22T12:00","","1976","50 to 99 employees ","https://www.aboutschwab.com/","https://job-openings.monster.com/senior-manager-marketing-analytics-austin-tx-us-charles-schwab-corporation/d5a1d9d9-771a-4aed-8705-e26d39023c57"
"Marketing Specialist - (Job Number: 202236)","Experian Services Corp","Austin","TX","","15 days ago","2020-04-15T12:00","","","","","https://job-openings.monster.com/marketing-specialist-job-number-202236-austin-tx-us-experian-services-corp/6fb2f2c9-3e2b-44b2-a09f-c0acd8a43b4d"
"Marketing Director","RoverPass","Austin","TX","78701","16 days ago","2020-04-14T12:00","","","","","https://job-openings.monster.com/marketing-director-austin-tx-us-roverpass/376b0b26-badd-4f0b-9460-990ae2125f64"
"Digital Marketing Manager","NICE Careers","Austin","TX","","17 days ago","2020-04-13T12:00","","","","","https://job-openings.monster.com/digital-marketing-manager-austin-tx-us-nice-careers/5d561f5f-e2e2-4c49-b80b-a45f95a1c069"
"Digital Marketing Manager","NICE Systems","Austin","TX","","17 days ago","2020-04-13T12:00","","","","","https://job-openings.monster.com/digital-marketing-manager-austin-tx-us-nice-systems/021d25f9-371f-4bed-a21b-5ef47cc84c6f"
